Msqnm,Fctn,Prvn,Pftn,Cont,Spfcadd,Msqintdc,Topmsq,Kcrsusp,Sncarlv,Longit,Latit
威宁县启戛清真寺,年代不详,贵州省,毕节市,威宁彝族回族苗族自治县,贵州省威宁县麻乍乡启戛村,启戛清真寺始建年代及历史沿革不详。现寺位于贵州省威宁县麻乍乡启戛村一小山丘顶部，视野广阔，风景优美。礼拜大殿为普通瓦房，4*3.6丈开间，约160平方米，全寺占地3亩。,,,,104.079422,26.655062
威宁县妈撒近清真寺,年代不详,贵州省,毕节市,威宁彝族回族苗族自治县,贵州省威宁县双龙乡,妈撒近清真寺位于贵州省威宁县双龙乡。该寺始建于清光绪六年(1880年)，现礼拜大殿为石木结构瓦房，建筑面积95平方米。对推动当地伊斯兰教与社会经济的发展起着一定的作用。,,,,104.145592,26.875771
威宁县戛利清真寺,年代不详,贵州省,毕节市,威宁彝族回族苗族自治县,贵州省威宁县麻乍乡夏利村,戛利清真寺位于贵州省威宁县麻乍乡夏利村，建始于清朝嘉庆八年(1803年)，礼拜大殿为单檐庑殿式，建筑面积210平方米，全夺占地面积1.7亩。,,,,104.079422,26.655062
威宁县大水井清真寺,年代不详,贵州省,毕节市,威宁彝族回族苗族自治县,贵州省威宁县戛利乡,大水井清真寺位于贵州省威宁县戛利乡，始建于清嘉庆年间。现有民房式礼拜殿3大间及其它附属建筑。较为简陋。寺产有100余棵大树及1亩土地。,,,,104.090271,26.718651
平坝县城关清真寺,年代不详,贵州省,阜阳市,太和县,太和县,"太和城关清真寺位于太和县城关。清真北寺，始建于明洪武十年，清乾隆年间重修扩建，道光二十年(1840年)及民国先后进行了整修。现存建筑为典型的清代寺院建筑群。坐西面东，占地3074平方米，包括大门(万岁阁)、礼拜殿、南、北讲堂、女寺，古水井亭等，寺门为悬山双层楼阁式，面阔三间，梁坊、雀替均雕莲花瓣纹，门额上方的大型""飞龙""雕饰上，发现有铜钱刻纹，钱铭""天下太平""、""道光丁未""。礼拜殿为寺内主体建筑，面阔五间，进深三间，十一架前后廊。大殿檐飞角翘，壁合珠联，浑然一体。清真北寺规模较大，保存完整，为研究淮北地区清式建筑艺术和宗教发展史提供了宝贵的实物资料。",,,,115.622030,33.160260
贵阳清真寺,年代不详,贵州省,贵阳市,,贵州省贵阳市夏状元街,"贵阳清真寺为贵阳市唯一的一座清真寺。据清道光《贵阳府志》记载:""清真古寺在府新城内团井巷口，雍正二年(1724年)回人所建""、道光十七年(1837年)重修。1934年由当时的乡老会捐募，并将清本巷房屋变卖筹款第二次修复、1947年由中国回教协会贵州分会再次维修并增设部分家具。新中国成立后被列为贵阳市重点文物保护单位。""文革""中遭严重破坏。宗教政策恢复后，1980年贵阳市政府拨款近20万元进行全面维修，1982年交付使用。",,,,106.710442,26.584841
盘县燕子窝清真寺,年代不详,贵州省,六盘水市,盘县,贵州省盘县特区普田回族乡,燕子窝清真寺位于贵州省盘县特区普田回族乡，该寺建于1952年。全寺建筑总面积390平方米。,,,,104.768791,25.383503
盘县大木桥清真寺,年代不详,贵州省,六盘水市,盘县,贵州省盘县特区,大木桥清真寺位于贵州省盘县特区普田回族乡大木桥村，始建于清康熙年间(1662一1722年)，多年来历经沧桑，于1990年翻修扩建。现寺全寺占地1.4亩，建筑总面积640平方米，其中有礼拜大殿为钢筋混凝土结构。,,,,104.471580,25.709930
贵州青山清真寺,年代不详,贵州省,黔西南布依族苗族自治州,普安县,贵州省普安县青山镇,"普安县青山清真寺，是贵州省影响较大的清真寺之一，几任""热伊斯""在其中居住达40余年。明永乐前，青山就有回族瓦钦、常智及其子孙来此，但他们身为卫所军人，宗教生活受营规所限。待到清初，这里形成了一个回回小村，青山才先后出现了几处小规模的清真寺，咸丰、同治年间又屡遭毁坏。",,,,105.000862,25.505512
兴仁县三家寨清真寺,年代不详,贵州省,黔西南布依族苗族自治州,兴仁县,贵州省兴仁县,三家寨清真寺坐落于贵州省兴仁县鲁础营回族乡。于清光绪十六年(1890)，由哲赫林耶教派教主马元章筹建。该寺占地面积1300多平方米，是中国伊斯兰教清真寺。该寺已被列为贵州省黔西南布依族、苗族自治州文物保护单位。,,贵州省黔西南布依族、苗族自治州文物保护单位,,105.186390,25.435110
