Chrnm,Fctn,Prvn,Pftn,Cont,Spfcadd,Saltm,Chrintdc,Longit,Latit
教堂名称,建立日期,所属省份,所属地级市,所属区县,具体地址,礼拜时间,基督教堂简介,经度,纬度
广州市救主堂,,广东省,广州市,,广东省广州市万福路184号,日9:00；19:30,,113.271320,23.119740
广州市锡安堂,,广东省,广州市,,广东省广州市人民中路392号,日12:00；19:30,,113.253900,23.122860
广州市东山堂,,广东省,广州市,,广东省广州市东山寺贝通津9号,日10:00(普通话)12:00；六12:30,,113.304024,23.121653
河源市福音堂,,广东省,河源市,,广东省河源市卫星区福音堂,日11:00,,114.691017,23.733461
惠州堂,,广东省,惠州市,,广东省惠州市中山西路6号之一,日12:00,,114.405353,23.092587
台山堂,,广东省,江门市,台山市,广东省台山市台城台西路186号,日12:00,,112.788930,22.252740
梅州市东门礼拜堂,,广东省,梅州市,,广东省梅州市区东门大康巷10号,日9:30,,116.116990,24.309960
清远堂,,广东省,清远市,清城区,广东省清远市清城区上濠基177号,日午1:00,,113.036728,23.705578
汕头市西堂,,广东省,汕头市,,广东省汕头市民权路146号,日9:30；晚19:00,,116.678340,23.356020
深圳市基督教堂,,广东省,深圳市,,广东省深圳市和平路22号,日9:00；12:00；19:00,,114.039861,22.671849
湛江市福音堂,,广东省,湛江市,霞山区,广东省湛江市霞山区延安路14号,日9:00,,110.412164,21.195051
中山市太平堂,,广东省,中山市,,广东省中山市石岐太平路高家基6号,日12:00,,113.372414,22.522602
田东县基督教会,,广西壮族自治区,百色市,田东县,广西壮族自治区田东县南华街193号,日12:00,,107.126080,23.597240
百色市基督教会,,广西壮族自治区,百色市,,广西壮族自治区百色市文明街131号,日12:00,,106.624950,23.899150
德保县基督教会,,广西壮族自治区,百色市,,广西壮族自治区德保县城关东安大街141号,日12:00,,106.615500,23.323400
北海市基督教会,,广西壮族自治区,北海市,,广西壮族自治区北海市珠海西路117号,日9:00,,109.110250,21.481930
桂林市基督教会,,广西壮族自治区,桂林市,,广西壮族自治区桂林市中山中路456号,六19:30；日12:30,,110.296463,25.281639
柳州市基督教会,,广西壮族自治区,柳州市,,广西壮族自治区柳州市北鹊路65号,日12:00,,109.446260,24.339410
融安县基督教会,,广西壮族自治区,柳州市,,广西壮族自治区融安县长安镇新华街,日12:00,,109.402168,25.225840
宾阳基督教会,,广西壮族自治区,南宁市,宾阳县,广西壮族自治区宾阳宾州镇仁爱西街288号,日12:00,,108.795677,23.215851
南宁市共和路礼拜堂,,广西壮族自治区,南宁市,,广西壮族自治区南宁市共和路168号,日12:00,,108.323470,22.817560
南宁市教会,,广西壮族自治区,南宁市,,广西壮族自治区南宁市中山路65号,日、六8:30,,108.323880,22.806730
钦州市基督教会,,广西壮族自治区,钦州市,,广西壮族自治区钦州市宜兴街39号,日12:00,,108.573240,22.170750
梧州市教会,,广西壮族自治区,梧州市,,广西壮族自治区梧州市大中路5号,日、六9:00,,111.315740,23.473580
玉林市基督教会,,广西壮族自治区,玉林市,,广西壮族自治区玉林市县前路100号,日11:00,,110.051250,22.579570
安顺市基督教堂,,贵州省,安顺市,,贵州省安顺市文化路2号,日11:00,,106.255300,26.405740
毕节市基督教堂,,贵州省,毕节地区,毕节市,贵州省毕节市文笔路21号,日10:00,,105.278325,27.309981
赤水市教会,,贵州省,赤水市,,贵州省贵州省赤水市基督教堂,日10:00,,107.463814,27.768148
贵阳市青岩基督教堂,,贵州省,贵阳市,花溪区,贵州省贵阳市花溪区青岩镇,日13:00,,106.688416,26.333208
贵阳市基督教堂,,贵州省,贵阳市,,贵州省贵阳市黔灵西路68号,日9:00；14:00,,106.709390,26.586390
都匀市基督教堂,,贵州省,黔南布依族苗族自治州,都匀市,贵州省都匀市广惠路,日9:00,,107.517342,26.260330
铜仁市基督教堂,,贵州省,铜仁地区,铜仁市,贵州省铜仁市双江路28号,日12:00,,109.264330,27.816210
遵义市基督教堂,1919年,贵州省,遵义市,红花岗区,贵州省遵义市红花岗区老城杨柳街13号,,"遵义基督教堂，乃由四个宗派联合组成。远在十九世纪末，基督教内地会美国牧师潘惠廉便到遵义租房传教;1903年于丁字口购地约2500平方米拟建教堂(现区政协大楼址);1916年开办小学历时约10余年;1919年建基督教""福音堂""。1932年，安息日会由华西联合会贵东区会执委会派传教士李德馨至遵义老城租房设堂传教;1948年于丰乐路建礼拜堂。1939年9月，中华圣公会由鄂湘教区传教士杨廷璋至遵义新东门租房传教，同时开办遵道小学;1948年在中华南路建的""马可堂""竣工使用。1946年，卫道会美国籍牧师卫格尔到遵义老城西门沟租房传教，并成立卫道会遵义分会，不久于法院街建成教堂。遵义基督教有着积极支持中国革命的光荣传统。1935年红军两次进入遵义时，遵义基督徒以药物支援了红军;原内地会福音堂曾作过苏维埃银行营业厅，并为邓发、傅连章等领导同志提供住处。该会瑞士籍传教士薄复礼离开遵后，曾为红军翻译一张法文贵州省大地图、募集一万银元和一批药物，并于1936年向西方如实报道了红军;1988年，原红军首长肖克题词称赞薄复礼为""中国人民的老朋友""，并在后来的电视片《长征纪实》中留下了珍影。三自爱国运动发起后，遵义基督教也积极响应和支持，于1959年5月28日联合各宗派成立了遵义市基督教三自爱国运动委员会，并举行联合礼拜。文革期间，各教堂被迫关闭。改革开放后，1982年复堂。复堂后的遵义基督教，配合政府工作，1982年3月24日，为了支持政府修建政协大楼，让出丁字口""福音堂"";1993年10月16日，为了配合市政规划，让出中华南路""马可堂""黄金地段。1997年9月27日，遵义基督教迁至政府补偿的现遵义杨柳街""基督教堂""。目前，遵义基督教堂有信徒2000余人，工作班子为三自爱国运动委员会、教务委员会和堂务委员会，三块牌子一套人马;本届成员8人，牧师1人，副牧师1人，传道员1人。为加强自身建设，内强素质，外树形象，遵义基督教正着重一手抓工作，一手抓学习。除礼拜四外，每天均有新旧约查经聚会、要道学习、诗班团契等活动。讲台事奉中，遵义基督教同工们比较重视圣经真理在社会主义社会中的积极意义，弘扬圣经中的爱国主义和伦理道德，强调基督徒离恶向善，作盐作光，做国家的好公民。遵义基督教也积极担当社会责任，曾为地震、泥石流、洪涝、雪凝等自然灾害，以及关顾孤残儿童、空巢老人、留守儿童、火灾家庭、患病人士等社会公益事业，捐款约80万元，被区政府评为""扶贫济困""先进团体、""五好宗教""活动场所;2012年6月，被中国基督教两会评为""为经济社会发展做出积极贡献""的全团性先进团体，还获得贵州省省级优秀""和谐寺观教堂""荣誉称号。未来，遵义基督教还将循着三自爱国道路，坚持基督教中国化方向，积极参与中国基督教的神学思想建设活动，为建设更加荣神益人的基督教会而努力奋斗。",106.919800,27.687190
遵义市马可堂,,贵州省,遵义市,,贵州省遵义市中华南路73号2楼,日13:00,,106.931139,27.686274
儋州市那大教堂,,海南省,儋州市,,海南省儋州市那大镇东风路156号,日10:00,,109.575680,19.509310
三亚市基督教堂,,海南省,三亚市,,海南省三亚市(红沙镇)基督教堂,日9:00,,109.563774,18.243565
琼海市加积教堂,,海南省,,琼海市,海南省琼海市加积镇五德街40号,日12:30,,110.467621,19.244394
文昌市基督教会,,海南省,,文昌市,海南省文昌市文城镇沿江路九号,日10:00,,110.760300,19.618500
保定市伯特利堂,2006年06月24日,河北省,保定市,莲池区,河北省保定市莲池区莲池南大街1768号,,"伯特利堂坐落于古城保定市莲池区莲池南大街1768号，是保定市基督教两会的直属堂，保定地区教会的中心堂。于2006年6月24日奠基，2007年9月24日竣工，同年11月23日献堂并正式投入使用，占地面积11.5亩，建筑面积6100平方米，可容纳3000人聚会。目前，有9位牧师，1位长老，3位传道员，15位工作人员。自建成投入使用以来，承担了崇拜聚会、圣礼举行、节期活动、工人培训、会议学习、来访接待、社会服务等方面的工作。在牧养工作中，不仅顾及本堂，还兼顾下属的25个县(市、区)教会的义工培训、主日聚会、两大圣礼的主持、培灵会等方面的需求。伯特利堂积极宣传党的宗教信仰自由政策、宣传正信宗教，带领广大信徒为构建宗教和谐及社会和谐做贡献。曾被国家宗教事务局评为""首届全国创建和谐寺观教堂先进集体"";被中国基督教两会评为""中国基督教公益慈善事业先进集体"";被河北省民族宗教事务厅评为""弘扬爱国爱教传统、共建和谐河北先进集体"";多次被保定市委、市政府和省、市宗教部门评为""五好宗教活动场所""、""维护社会稳定工作先进集体""。",115.497180,38.821360
保定市基督教会,,河北省,保定市,,河北省保定市花园街76号,日9:00,,115.458750,38.877570
沧州市基督教会,,河北省,沧州市,,河北省沧州市李家花园13号,日9:30,,116.860809,38.309776
承德竹林小区基督教堂,,河北省,承德市,,河北省,日9:00,,117.906593,40.781170
邯郸市基督教会,,河北省,邯郸市,,河北省邯郸市西街190号,日9:30；14:30,,114.493390,36.618530
廊坊基督教会,,河北省,廊坊市,,河北省廊坊市建国道24号,日9:30,,116.720796,39.519804
奏皇岛市基督教会,,河北省,秦皇岛市,,河北省奏皇岛市民族路文明里,日9:30；14:00,,119.608688,39.938644
石家庄市基督教福音堂,1921年,河北省,石家庄市,新华区,河北省石家庄市新华区新华路94号,,"石家庄市基督教福音堂，位于石家庄市新华区新华路94号，是石家庄市基督教两会直属堂。1921年，丹麦神召会冉彼得牧师主持建造，共耗资3万美元。原""福音堂""为脊瓦式建筑格式，砖木结构，宽9米，长20米，建筑面积200平方米，可容纳400人。教堂顶部用汉白玉石雕刻一横幅，上书""归耶和华为圣""六个大字。大门两侧以白玉石雕刻两竖联，文曰""尽心尽性尽力尽意""、""一主一信一洗一神""。原""福音堂""至今仍然使用。1998年，石家庄市基督教两会自筹资金在原址后方建立新堂，于12月20日献堂，新堂长45.9米，宽21米，高39.42米(至十字架顶部)，建筑面积约3200平方米，可容纳两千人聚会。组织架构:堂管会设有教会事工部、财务事工部和总务事工部。教务事工涵盖了讲道牧会、日常聚会、圣礼主持、节期崇拜、诗班圣乐、青年事工、老年事工、查经祷告、重大活动等事工;财务事工涵盖了财务室和开箱组等事工;总务事工涵盖了售书室、房产基建、伙食供给、卫生清洁、车辆管理、消防安全、音控管理、后勤保障、堂会服侍等事工。现有教牧及工作人员30位。福音堂牧养石家庄周边50多个聚会堂点的上万名信徒。",114.480350,38.047580
唐山市教会,,河北省,唐山市,,河北省唐山市建国路北区五家庄街3号,日9:30,,118.206826,39.627476
邢台市礼拜堂,,河北省,邢台市,,河北省邢台市新西街78号,日9:30；日下午2:30,,114.498500,37.060300
张家口市基督教会,,河北省,张家口市,桥西区,河北省张家口市桥西区清真寺巷1号,日9:30,,114.869370,40.819560
安阳市教会,,河南省,安阳市,,河南省安阳市红星路中段39号,日8:30,,114.359426,36.108647
焦作市教会,,河南省,焦作市,,河南省焦作市生产南街61号,日8:30,,113.230640,35.240520
开封市西门大街礼拜堂,1935年,河南省,开封市,鼓楼区,河南省开封市鼓楼区西门大街131号,,"毗邻开封市鼓楼区西司河畔，在西门大街131号，伫立着一座庄严而秀美的以现代建筑工艺结合传统风格的教堂——开封市西门大街礼拜堂。1933年豫中信义会派王天修来开封传教。1935年在西门大街原154号，购民房5间，开始布道并办识字班。同年，一对美国传教士夫妇从禹县来到西门大街，购地2.217亩建堂。1986年重新开放，1997年原地扩建，建筑面积约1580㎡。因西门大街是开封主干道之一，依傍于""大宋御河""西岸并临街而立的西门教堂就成为了一座亮丽的景点式教堂。西门大街教堂现有信徒约1500人，主日崇拜分为上、下午两场。周间活动包括:识字班、祷告会、同工会、见证会、查经班、电脑班、吉他班、民乐队、舞蹈组、赞美操组、提摩太青年团契、赞美团契、研经团契等。教堂设有12个组，分别为:圣餐组、迎宾组、服务组、司琴组、购物组、电工组、后勤组、财会组、马大组、文字组、早祷组、信仰咨询组。每组设立正、副组长各一名，大家彼此配搭，共同服侍，荣神益人，兴旺福音!该堂现有牧师3人、长老1人、神学生4人、堂委7人，义工传道员15人。教会异象为""三个一"":一支队伍，着力打造一支凝聚在基督里的同工队伍;一间学校，教会当满足信徒信仰、生活等之学习与灵命成长的需求;一个家庭，要让每一个来到教会之人都能感受到浓浓的基督之爱!""三个一""的西门教会，虽初具规模，却需要在上帝的带领与圣灵的感动下不断地发展、提高、壮大，前方，我们""当走的路甚远""(王上19:7)……",114.339220,34.799990
开封市西门里礼拜堂,,河南省,开封市,,河南省开封市西门里,日9:00,,114.398773,34.602852
开封市南关礼拜堂,,河南省,开封市,,河南省开封市医院前街,日8:30,,114.348602,34.780281
